CODE~ICAO~RES~DECS~NAME~LAT~LONG~ELEV~TZONE
THF~EDDI~BERLIN TEMPELHOF, GERMANY~BERLIN GERMAN~TEMPELHOF~52.28.4N~013.24.0E~164~P01.0
THG~~THANGOOL, AUSTRALIA~NO STA DATA~~~~~
THH~~TAHAROA, NEW ZEALAND~NO STA DATA~~~~~
THI~~TICHITT, MAURITANIA~NO STA DATA~~~~~
THJ~~RESERVED 68, SINGAPORE~NO STA DATA~~~~~
THK~~THAKHEK, LAO PEOPLES DEM~NO STA DATA~~~~~
THL~~TACHILEK, MYANMAR~NO STA DATA~~~~~
THN~ESGT~TROLLHATTAN, SWEDEN~TROLLHATTAN SWEDEN~TROLLHATTAN-VANERSBORG~58.19.0N~012.20.6E~135~P01.0
THO~~THORSHOFN, ICELAND~NO STA DATA~~~~~
THP~~THERMOPOLIS, WY~NO STA DATA~~~~~
THQ~~HTL GOUVNEREURS, CANADA~NO STA DATA~~~~~
THR~OIII~TEHRAN IRAN, IRAN~TEHRAN IRAN~MEHRABAD INTL~35.41.4N~051.18.8E~3963~P03.5
THS~~SUKHOTHAI, THAILAND~NO STA DATA~~~~~
THT~~TAMCHAKET, MAURITANIA~NO STA DATA~~~~~
THU~BGTL~PITUFFIK, GREENLAND~THULE AB~THULE AB~76.32.0N~068.42.0W~251~M04.0
THV~~YORK, PA~NO STA DATA~~~~~
THY~~THOHOYANDOU, SOUTH AFRICA~NO STA DATA~~~~~
THZ~~TAHOUA, NIGER~NO STA DATA~~~~~
TIA~LATI~TIRANA, ALBANIA~TIRANA ALBANIA~RINAS~ICODE LA L~019.43.4E~118~P01.0
TIB~~TIBU, COLOMBIA~NO STA DATA~~~~~
TIC~~TINAK MARSHALL IS, US PACIFIC IS~NO STA DATA~~~~~
TID~DAOB~TIARET, ALGERIA~TIARET ALGERIA~BOU CHEKIF~35.21.0N~001.28.0E~3245~P01.0
TIE~~TIPPI, ETHIOPIA~NO STA DATA~~~~~
TIF~OETF~TAIF, SAUDI ARABIA~TAIF SAUDI ARABIA~TAIF~21.28.9N~040.32.6E~4848~P03.0
TIG~~TINGWON, PAPUA NEW GUINE~NO STA DATA~~~~~
TIH~~TIKEHAU, FRENCH POLYNESI~NO STA DATA~~~~~
TII~~TIRINKOT, AFGHANISTAN~NO STA DATA~~~~~
TIJ~MMTJ~TIJUANA, MEXICO~TIJUANA MEXICO~GEN ABELARDO L RODRIGUEZ INTL~32.32.4N~116.58.3W~499~M08.0
TIK~KTIK~TINKER AFB OK, OK~TINKER AFB/OKLAHOMA CITY~TINKER AFB~35.25.0N~097.23.0W~1291~M06.0
TIL~~INVERLAKE, CANADA~NO STA DATA~~~~~
TIM~~TIMIKA, INDONESIA~NO STA DATA~~~~~
TIN~~TINDOUF, ALGERIA~NO STA DATA~~~~~
TIP~HLLT~TRIPOLI, LIBYA~TRIPOLI LIBYA~TRIPOLI INTL~32.40.1N~013.09.4E~263~P02.0
TIQ~PGWT~TINIAN, US PACIFIC IS~TINIAN, MARIANA IS~WEST TINIAN~14.59.8N~145.37.0E~268~P10.0
TIR~~TIRUPATI, INDIA~NO STA DATA~~~~~
TIS~~THURSDAY ISLAND, AUSTRALIA~NO STA DATA~~~~~
TIU~~TIMARU, NEW ZEALAND~NO STA DATA~~~~~
TIV~LYTV~TIVAT, YUGOSLAVIA~TIVAT, YUGOSLAVIA~TIVAT~42.24.2N~018.43.6E~20~P01.0
TIW~KTIW~TACOMA, WA~TACOMA WA~TACOMA NARROWS~47.16.0N~122.34.6W~292~M08.0
TIX~KTIX~TITUSVILLE, FL~SPACE CENTER EXECUTIVE~SPACE COAST REGL~28.30.8N~080.47.9W~1~M05.0
TIY~~TIDJIKJA, MAURITANIA~NO STA DATA~~~~~
TIZ~~TARI, PAPUA NEW GUINE~NO STA DATA~~~~~
TJA~SLTJ~TARIJA, BOLIVIA~TARIJA BOLIVIA~CAPT ORIEL LEA PLAZA~21.32.8S~064.42.4W~6084~M04.0
TJB~~TANJUNG BALAI, INDONESIA~NO STA DATA~~~~~
TJC~~CORSICA FERRIES, ITALY~NO STA DATA~~~~~
TJD~~MKTNG AUTMN, TX~NO STA DATA~~~~~
TJG~~TANJUNG, INDONESIA~NO STA DATA~~~~~
TJH~~TOYOOKA, JAPAN~NO STA DATA~~~~~
TJI~~TRUJILLO HN, HONDURAS~NO STA DATA~~~~~
TJK~~TOKAT, TURKEY~NO STA DATA~~~~~
TJM~USTT~TYUMEN, E URAL RUSSIA~TYUMEN RUSSIA~TYUMEN~57.10.1N~065.19.1E~371~P05.0
TJN~~TAKUME, FRENCH POLYNESI~NO STA DATA~~~~~
TJQ~~TANJUNG PANDANG, INDONESIA~NO STA DATA~~~~~
TJS~~TANJUNG SELOR, INDONESIA~NO STA DATA~~~~~
TJV~~THANJAVUR, INDIA~NO STA DATA~~~~~
TKA~~TALKEETNA, AK~NO STA DATA~~~~~
TKB~~TEKADU, PAPUA NEW GUINE~NO STA DATA~~~~~
TKC~~TIKO, CAMEROON~NO STA DATA~~~~~
TKD~DGTK~TAKORADI, GHANA~TAKORADI GHANA~TAKORADI AB~04.53.5N~001.46.0W~21~P00.0
TKE~~TENAKEE ALASKA, AK~NO STA DATA~~~~~
TKF~~TRUCKEE CA, CA~NO STA DATA~~~~~
TKG~~BANDAR LAMPUNG, INDONESIA~NO STA DATA~~~~~
TKI~~TOKEEN, AK~NO STA DATA~~~~~
TKJ~~TOK, AK~NO STA DATA~~~~~
TKK~PTKK~TRUK, MICRONESIA~TRUK,CAROLINE ISLANDS~CHUUK INTL~07.27.7N~151.50.5E~11~P10.0
TKL~~TAKU LODGE, AK~NO STA DATA~~~~~
TKM~~TIKAL, GUATEMALA~NO STA DATA~~~~~
TKN~RJKN~TOKUNOSHIMA, JAPAN~TOKUNOSHIMA, JAPAN~TOKUNOSHIMA~27.49.9N~128.53.0E~8~P09.0
TKP~~TAKAPOTO, FRENCH POLYNESI~NO STA DATA~~~~~
TKQ~~KIGOMA, TANZANIA~NO STA DATA~~~~~
TKR~~THAKURGAON, BANGLADESH~NO STA DATA~~~~~
TKS~RJOS~TOKUSHIMA, JAPAN~TOKUSHIMA,JAPAN~TOKUSHIMA~34.07.7N~134.36.5E~26~P09.0
TKT~~TAK, THAILAND~NO STA DATA~~~~~
TKU~EFTU~TURKU, FINLAND~TURKU FINLAND~TURKU~60.30.8N~022.15.9E~161~P02.0
TKV~~TATAKOTO, FRENCH POLYNESI~NO STA DATA~~~~~
TKW~~TEKIN, PAPUA NEW GUINE~NO STA DATA~~~~~
TKX~~TAKATOA, FRENCH POLYNESI~NO STA DATA~~~~~
TKY~~TURKEY CREEK, AUSTRALIA~NO STA DATA~~~~~
TLA~~TELLER ALASKA, AK~NO STA DATA~~~~~
TLB~~TARBELA, PAKISTAN~NO STA DATA~~~~~
TLC~MMTO~TOLUCA, MEXICO~TOLUCA MEXICO~LIC ADOLFO LOPEZ MATEOS INTL~19.20.1N~099.33.9W~8448~M06.0
TLD~~TULI LODGE, BOTSWANA~NO STA DATA~~~~~
TLE~~TULEAR, MADAGASCAR~NO STA DATA~~~~~
TLF~~TELIDA, AK~NO STA DATA~~~~~
TLG~~TULAGHI, SOLOMON ISLANDS~NO STA DATA~~~~~
TLH~KTLH~TALLAHASSEE, FL~TALLAHASSEE FL~TALLAHASSEE REGL~30.23.7N~084.21.0W~81~M05.0
TLI~~TOLITOLI, INDONESIA~NO STA DATA~~~~~
TLJ~~TATALINA ALASKA, AK~NO STA DATA~~~~~
TLK~~TALKNAFJORDUR, ICELAND~NO STA DATA~~~~~
TLL~EETN~TALLINN, ESTONIA~TALLINN, ESTONIA~ULEMISTE~59.24.8N~024.49.9E~131~P03.0
TLM~DAON~TLEMCEN, ALGERIA~TLEMCEN ALGERIA~ZENATA~35.00.7N~001.26.9W~814~P01.0
TLN~LFTH~TOULON, FRANCE~TOULON FRANCE~LE PALYVESTRE NAVY~43.05.8N~006.08.7E~10~P01.0
TLO~~TOL, PAPUA NEW GUINE~TULSA LOAD CENTER~~~~1~P00.0
TLP~~TUMOLBIL, PAPUA NEW GUINE~NO STA DATA~~~~~
TLQ~~TILDEN INTERRENT, CANADA~NO STA DATA~~~~~
TLR~KTLR~NOT IN TBL~TEMP FISTI STN ALLIANCE~MEFFORD~36.09.3N~119.19.5W~1~P00.0
TLS~LFBO~TOULOUSE, FRANCE~TOULOUSE FRANCE~BLAGNAC~43.37.4N~001.22.8E~499~P01.0
TLT~~TULUKSAK ALASK, AK~NO STA DATA~~~~~
TLU~~TOLU, COLOMBIA~NO STA DATA~~~~~
TLV~LLBG~TEL AVIV TLV, ISRAEL~TEL AVIV ISREAL~BEN GURION~32.00.6N~034.52.6E~135~P02.0
TLW~~TALASEA, PAPUA NEW GUINE~NO STA DATA~~~~~
TLX~~TALCA, CHILE~NO STA DATA~~~~~
TLY~~SKYTELLER, FL~NO STA DATA~~~~~
TLZ~~CATALAO, BRAZIL~NO STA DATA~~~~~
TMA~~TIFTON GA, GA~NO STA DATA~~~~~
TMB~KTMB~TAMIAMI AIRPORT, FL~TULSA MAINTENANCE BASE~KENDALL-TAMIAMI EXECUTIVE~25.38.9N~080.26.0W~676~P00.0
TMC~~TAMBOLAKA, INDONESIA~MEL CONTROL..MOC TULSA....~~~~1~P00.0
TMD~~TIMBEDRA, MAURITANIA~NO STA DATA~~~~~
TME~SKTM~TAME COLUMBIA, COLOMBIA~TAME COLOMBIA~TAME~06.27.2N~071.45.7W~1050~M05.0
TMF~~TULSA M AND E, OK~NO STA DATA~~~~~
TMG~~TOMANGGONG, MALAYSIA~NO STA DATA~~~~~
TMH~~TANAHMERAH, INDONESIA~NO STA DATA~~~~~
TMI~~TUMLINGTAR, NEPAL~NO STA DATA~~~~~
TMJ~~TERMEZ, UZBEKISTAN~NO STA DATA~~~~~
TMK~~TAMKY, VIETNAM~NO STA DATA~~~~~
TML~DGLE~TAMALE, GHANA~TAMALE GHANA~TAMALE AB~09.34.0N~000.52.0W~553~P00.0
TMM~FMMT~TAMATAVE, MADAGASCAR~TAMATAVE MADAGASCAR~TOAMASINA~18.06.9S~049.23.5E~20~P03.0
TMN~~TAMANA, KIRIBATI~NO STA DATA~~~~~
TMO~SVTM~TUMEREMO, VENEZUELA~TUMEREMO VENEZUELA~TUMEREMO~07.15.0N~061.26.0W~345~M04.0
TMP~EFTP~TAMPERE, FINLAND~TAMPERE FINLAND~PIRKKALA~61.24.9N~023.35.4E~390~P02.0
TMQ~~TAMBAO, BURKINA FASO~NO STA DATA~~~~~
TMR~DAAT~TAMANRASSET ALGER, ALGERIA~TAMANRASSET ALGERIA~AGUENAR~22.48.8N~005.27.5E~4518~P01.0
TMS~~SAO TOME ISLAND, SAO TOME AND PR~NO STA DATA~~~~~
TMT~~TROMBETAS, BRAZIL~NO STA DATA~~~~~
TMU~~TAMBOR, COSTA RICA~NO STA DATA~~~~~
TMV~~KATHY HUMEN, MEXICO~NO STA DATA~~~~~
TMW~~TAMWORTH, AUSTRALIA~NO STA DATA~~~~~
TMX~~TIMIMOUN, ALGERIA~NO STA DATA~~~~~
TMY~~TIOM, INDONESIA~NO STA DATA~~~~~
TNA~~JINAN, CHINA~NO STA DATA~~~~~
TNB~~TANAH GROGOT, INDONESIA~NO STA DATA~~~~~
TNC~~TIN CITY ALASK, AK~NO STA DATA~~~~~
TND~~TRINADAD CU, CUBA~NO STA DATA~~~~~
TNE~~TANEGASHIMA, JAPAN~NO STA DATA~~~~~
TNF~~TOUSSUS LE NOBLE, FRANCE~NO STA DATA~~~~~
TNG~GMTT~TANGIER, MOROCCO~TANGIER MOROCCO~BOUKHALF~35.43.4N~005.54.5W~62~P00.0
TNH~~TONGHUA, CHINA~NO STA DATA~~~~~
TNI~~SATNA, INDIA~NO STA DATA~~~~~
TNJ~~TANJUNG PINANG, INDONESIA~NO STA DATA~~~~~
TNK~~TUNUNAK ALASKA, AK~NO STA DATA~~~~~
TNL~~TERNOPIL, UKRAINE~NO STA DATA~~~~~
TNM~~TENIENTE R MARSH, ANTARCTICA~NO STA DATA~~~~~
TNN~RCNN~TAINAN, TAIWAN~TAINAN, CHINA~TAINAN AERO~22.57.5N~120.12.0E~63~P08.0
TNO~~TAMARINDO, COSTA RICA~NO STA DATA~~~~~
TNP~KTNP~TWENTY NINE PALMS, CA~TWENTYNINE PALMS CA~TWENTYNINE PALMS~34.07.9N~115.56.7W~1905~M08.0
TNQ~~TERAINA, KIRIBATI~NO STA DATA~~~~~
TNR~FMMI~ANTANANARIVO, MADAGASCAR~ANTANANARIVO MADAGASCAR~IVATO~18.47.7S~047.28.5E~4196~P03.0
TNT~KTNT~PAN AM, FL~MIAMI FL~DADE-COLLIER TRNG TRANSITION~25.51.7N~080.53.8W~14~M05.0
TNV~~LOUVRE TELMATICA, BRAZIL~NO STA DATA~~~~~
TNX~~STUNG TRENG, CAMBODIA~CABIN SVC~~~~1~P00.0
TOA~KTOA~TORRANCE, CA~TORRANCE CA~ZAMPERINI~33.48.2N~118.20.3W~101~M08.0
TOB~~TOBRUK, LIBYA~NO STA DATA~~~~~
TOC~~TOCCOA, GA~NO STA DATA~~~~~
TOD~~TIOMAN, MALAYSIA~NO STA DATA~~~~~
TOE~DTTZ~TOZEUR, TUNISIA~TOZEUR TUNISIA~NEFTA~33.55.8N~008.06.7E~285~P01.0
TOF~~TOMSK, E URAL RUSSIA~NO STA DATA~~~~~
TOG~~TOGIAK ALASKA, AK~NO STA DATA~~~~~
TOH~~TORRES, VANUATU~NO STA DATA~~~~~
TOI~KTOI~NOT IN TBL~TROY, ALABAMA~TROY MUN~31.51.6N~086.00.7W~397~M06.0
TOJ~LETO~MADRID TORREJON, SPAIN~MADRID SPAIN~TORREJON~40.29.2N~003.27.4W~1994~P01.0
TOK~~TOROKINA, PAPUA NEW GUINE~NO STA DATA~~~~~
TOL~KTOL~TOLEDO, OH~TOLEDO OH~TOLEDO EXPRESS~41.35.2N~083.48.4W~684~M05.0
TOM~~TOMBOUCTOU, MALI~NO STA DATA~~~~~
TON~~TONU, PAPUA NEW GUINE~NO STA DATA~~~~~
TOO~~TOURSHIP ITALIA, ITALY~NO STA DATA~~~~~
TOP~KTOP~TOPEKA, KS~TOPEKA KS~BILLARD MUN~39.04.1N~095.37.3W~880~M06.0
TOQ~~TOCOPILLA, CHILE~NO STA DATA~~~~~
TOR~KTOR~NOT IN TBL~TORRINGTON WY~TORRINGTON MUN~42.03.8N~104.09.1W~4205~M07.0
TOS~ENTC~TROMSO NORWAY, NORWAY~TROMSO NORWAY~TROMSO~69.40.8N~018.55.1E~29~P01.0
TOT~~TOTNESS, SURINAME~TTOT~~~~0~P00.0
TOU~~TOUHO, NEW CALEDONIA~NO STA DATA~~~~~
TOV~~TORTOLA W END SPB, BRITISH VIRGIN~NO STA DATA~~~~~
TOW~~TOLEDO, BRAZIL~NO STA DATA~~~~~
TOX~~TOBOLSK, RUSSIA~NO STA DATA~~~~~
TOY~RJNT~TOYAMA, JAPAN~TOYAMA,JAPAN~TOYAMA~36.38.7N~137.11.4E~77~P09.0
TOZ~~TOUBA, IVORY COAST~NO STA DATA~~~~~
TPA~KTPA~TAMPA TPA, FL~TAMPA FL~TAMPA INTL~27.58.5N~082.31.9W~27~M05.0
TPC~SETR~TARAPOA, ECUADOR~TARAPOA EQUADOR~TARAPOA~00.07.1S~076.20.0W~787~M05.0
TPD~~TUL PRICING DESK, OK~NO STA DATA~~~~~
TPE~RCTP~TAIPEI TPE, TAIWAN~TAIPEI TAIWAN~CHIANG KAI SHEK INTL~25.04.9N~121.13.4E~107~P08.0
TPG~~TAIPING, MALAYSIA~NO STA DATA~~~~~
TPH~KTPH~TONOPAH, NV~TONOPAH NV~TONOPAH~38.03.6N~117.05.2W~5426~M08.0
TPI~~TRAPANI, PAPUA NEW GUINE~NO STA DATA~~~~~
TPJ~~TAPLEJUNG, NEPAL~NO STA DATA~~~~~
TPK~~TAPAKTUAN, INDONESIA~NO STA DATA~~~~~
TPL~KTPL~TEMPLE, TX~TEMPLE TX~DRAUGHON-MILLER CENTRL TX REGL~31.09.1N~097.24.4W~682~M06.0
TPM~~BUS TVL SOLUTIONS, TX~NO STA DATA~~~~~
TPN~~TIPUTINI, ECUADOR~NO STA DATA~~~~~
TPP~~TARAPOTO PERU, PERU~NO STA DATA~~~~~
TPQ~MMEP~TEPIC, MEXICO~TEPIC MEXICO~TEPIC~21.24.6N~104.50.4W~3012~M07.0
TPR~~TOM PRICE AUST, AUSTRALIA~NO STA DATA~~~~~
TPS~LICT~TRAPANI, ITALY~BIRGI MIL ITALY~BIRGI MIL~37.54.7N~012.29.1E~24~P01.0
TPT~~TAPETA, LIBERIA~NO STA DATA~~~~~
TPU~~TIKAPUR, NEPAL~NO STA DATA~~~~~
TPY~~TOP INTERNATIONAL, NE~NO STA DATA~~~~~
TQC~~AA PYM, TX~NO STA DATA~~~~~
TQI~~CENTRAL DIV INSTL, TX~NO STA DATA~~~~~
TQM~~LATIN AMERICA TQM, FL~NO STA DATA~~~~~
TQN~~TALUQAN, AFGHANISTAN~NO STA DATA~~~~~
TQS~~TRES ESQUINAS, COLOMBIA~NO STA DATA~~~~~
TQX~~DRAGON AIR, HONG KONG~NO STA DATA~~~~~
TRA~~TARAMAJIMA, JAPAN~NO STA DATA~~~~~
TRB~~TURBO, COLOMBIA~TURBO COLUMBIA~~~~0~P00.0
TRC~MMTC~TORREON, MEXICO~TORREON MEXICO~TORREON INTL~25.34.1N~103.24.6W~3707~M06.0
TRD~ENVA~TRONDHEIM, NORWAY~TRONDHEIM NORWAY~VAERNES AB~63.27.4N~010.55.5E~55~P01.0
TRE~~TIREE ISLAND, UNITED KINGDOM~NO STA DATA~~~~~
TRF~ENTO~SANDEFJORD, NORWAY~SANDEFJORD NORWAY~TORP~59.11.2N~010.15.6E~285~P01.0
TRG~~TAURANGA, NEW ZEALAND~NO STA DATA~~~~~
TRH~~TRONA CAL, CA~NO STA DATA~~~~~
TRI~KTRI~TRI CITY ARPT TN, TN~TRI CITY BRISTOL TENN~TRI-CITY REGL~36.28.5N~082.24.4W~1519~M05.0
TRJ~~TARAKBITS, PAPUA NEW GUINE~NO STA DATA~~~~~
TRK~~TARAKAN, INDONESIA~NO STA DATA~~~~~
TRM~KTRM~THERMAL, CA~THERMAL CA~THERMAL~33.37.5N~116.09.5W~1~M08.0
TRN~LIMF~TURIN, ITALY~TORINO ITALY~CASELLE~45.12.0N~007.39.0E~989~P01.0
TRO~~TAREE, AUSTRALIA~NO STA DATA~~~~~
TRQ~~TARAUACA, BRAZIL~NO STA DATA~~~~~
TRR~~TRINCOMALEE, SRI LANKA~NO STA DATA~~~~~
TRS~LIPQ~TRIESTE, ITALY~RONCHI DEI LEGIONARI IT~RONCHI DEI LEGIONARI~45.49.6N~013.28.3E~39~P01.0
TRT~~TREMONTON, UT~NO STA DATA~~~~~
TRU~SPRU~TRUJILLO PE, PERU~TRUJILLO PERU~CAP CARLOS MARTINEZ DE PINILL*~08.05.0S~079.07.0W~75~M05.0
TRV~VOTV~TRIVANDRUM, INDIA~TRIVANDRUM INDIA~TRIVANDRUM~08.28.6N~076.55.2E~13~P05.5
TRW~NGTA~TARAWA, KIRIBATI~TARAWA, KIRIBATI~BONRIKI INTL~01.22.7N~173.09.0E~9~P12.0
TRX~~TARAX MULTI ACCES, TRINIDAD~NO STA DATA~~~~~
TRY~~TORORO, UGANDA~NO STA DATA~~~~~
TRZ~VOTR~TIRUCHIRAPALLY, INDIA~TRICHCHIRAPPALLI INDIA~TIRUCHIRAPPALLI~10.45.8N~078.42.9E~279~P05.5
TSA~RCSS~TAIPEI TSA, TAIWAN~TAIPEI, TAIWAN~SUNGSHAN~25.04.2N~121.32.6E~18~P08.0
TSB~~TSUMEB NAMIBIA, NAMIBIA~NO STA DATA~~~~~
TSC~~TAISHA, ECUADOR~NO STA DATA~~~~~
TSD~~TSHIPISE, SOUTH AFRICA~NO STA DATA~~~~~
TSE~~AKMOLA, KAZAKHSTAN~NO STA DATA~~~~~
TSF~LIPH~TREVISO, ITALY~TREVISO ITALY~S.ANGELO MIL~45.39.1N~012.11.9E~57~P01.0
TSG~~TANACROSS, AK~NO STA DATA~~~~~
TSH~~TSHIKAPA, ZAIRE REPUBLIC~NO STA DATA~~~~~
TSI~~TSILI TSILI, PAPUA NEW GUINE~NO STA DATA~~~~~
TSJ~RJDT~TSUSHIMA, JAPAN~TSUSHIMA,JAPAN~TSUSHIMA~34.16.9N~129.19.9E~207~P09.0
TSK~~TASKUL, PAPUA NEW GUINE~NO STA DATA~~~~~
TSL~~TAMUIN, MEXICO~NO STA DATA~~~~~
TSM~KSKX~TAOS, NM~TAOS MUN NM~TAOS MUN~36.27.4N~105.40.3W~7091~M07.0
TSN~ZBTJ~TIANJIN, CHINA~TIANJIN PR CHINA~BINHAI~39.07.4N~117.20.7E~10~P08.0
TSO~~SCILLY TRESCO, UNITED KINGDOM~NO STA DATA~~~~~
TSP~~TEHACHAPI, CA~NO STA DATA~~~~~
TSQ~~TORRES, BRAZIL~NO STA DATA~~~~~
TSR~LRTR~TIMISOARA, ROMANIA~TIMISOARA, ROMANIA~GIARMATA~45.48.6N~021.20.4E~20~P02.0
TSS~~NYC E 34TH STREET, NY~TULSA STATIONARY STOCK ROO~~~~1~M06.0
TST~~TRANG, THAILAND~NO STA DATA~~~~~
TSU~~TABITEUEA SOUTH, KIRIBATI~NO STA DATA~~~~~
TSV~YBTL~TOWNSVILLE, AUSTRALIA~TOWNSVILLE AUS~TOWNSVILLE INTL~19.15.3S~146.45.9E~18~P10.0
TSW~~TSEWI, PAPUA NEW GUINE~NO STA DATA~~~~~
TSX~~TANJUNG SANTAN, INDONESIA~NO STA DATA~~~~~
TSY~~TASIKMALAYA, INDONESIA~NO STA DATA~~~~~
TTA~GMAT~TAN TAN, MOROCCO~TAN TAN, MOROCCO~PLAGE BLANCHE~28.26.7N~011.09.5W~653~P00.0
TTB~LIET~TORTOLI, ITALY~TULE TECH B FMR CTL ARTS~ARBATAX~39.55.0N~009.41.0E~1~P00.0
TTC~~TALTAL, CHILE~TULE TECH C FMR CTL ARTS~~~~1~P00.0
TTD~KTTD~NOT IN TBL~TULE TECH D FMR CTL ARTS~PORTLAND-TROUTDALE~45.32.9N~122.24.0W~1~P00.0
TTE~~TERNATE, INDONESIA~NO STA DATA~~~~~
TTG~~TARTAGAL, ARGENTINA~NO STA DATA~~~~~
TTI~~TETIAROA ISLAND, FRENCH POLYNESI~NO STA DATA~~~~~
TTJ~RJOR~TOTTORI, JAPAN~TOTTORI,JAPAN~TOTTORI~35.31.6N~134.10.0E~48~P09.0
TTK~~TOTTENHAM HALE ST, UNITED KINGDOM~NO STA DATA~~~~~
TTL~~TURTLE ISLAND, FIJI~NO STA DATA~~~~~
TTM~~TABLON DE TAMARA, COLOMBIA~NO STA DATA~~~~~
TTN~KTTN~TRENTON NJ, NJ~TRENTON NJ~MERCER CO~40.16.6N~074.48.8W~213~M05.0
TTO~~BRITTON, SD~NO STA DATA~~~~~
TTQ~~TORTUGUERO, COSTA RICA~NO STA DATA~~~~~
TTR~~TANATORAJA, INDONESIA~NO STA DATA~~~~~
TTS~~TSARATANANA, MADAGASCAR~TULSA TECH QUEUE CONTROL~~~~1~M06.0
TTT~~TAITUNG, TAIWAN~NO STA DATA~~~~~
TTU~GMTN~TETUAN, MOROCCO~TETOUAN MOROCCO~SANIA RAMEL~35.36.0N~005.19.0W~33~P00.0
TTX~~TREFF HOTELS, GERMANY~NO STA DATA~~~~~
TTY~~RESERVED 3, SINGAPORE~NO STA DATA~~~~~
TTZ~~AMERICAN TRANSAIR, IN~TASHKENT FIR~~~~1~P00.0
TUA~~TULCAN, ECUADOR~NO STA DATA~~~~~
TUB~~TUBUAI ISLAND, FRENCH POLYNESI~NO STA DATA~~~~~
TUC~SANT~TUCUMAN ARG , ARGENTINA~TUCUMAN ARGENTINA~BENJAMIN MATIENZO~26.51.0S~065.07.0W~1493~M03.0
TUD~~TAMBACOUNDA, SENEGAL~NO STA DATA~~~~~
TUE~~TUPILE PANAMA, PANAMA~NO STA DATA~~~~~
TUF~LFOT~TOURS, FRANCE~ST SYMPHORIEN AB FRANCE~ST SYMPHORIEN AB~47.25.9N~000.43.4E~354~P01.0
TUG~~TUGUEGARAO, PHILIPPINES~NO STA DATA~~~~~
TUH~~NOT IN TBL~ARNOLD AB TULLAHOMA~~~~1067~M06.0
TUI~OETR~TURAIF, SAUDI ARABIA~TURAIF SAUDI ARABIA~TURAIF~31.41.5N~038.43.8E~2803~P03.0
TUJ~~TUM ETHIOPIA, ETHIOPIA~TULSA SHIPPING~~~~676~M06.0
TUK~OPTU~TURBAT, PAKISTAN~TURBAT, PAKISTAN~TURBAT~25.59.1N~063.01.8E~400~P05.0
TUL~KTUL~TULSA, OK~TULSA OK~TULSA INTL~36.11.9N~095.53.2W~677~M06.0
TUM~~TUMUT, AUSTRALIA~NO STA DATA~~~~~
TUN~DTTA~TUNIS, TUNISIA~TUNIS TUNISIA~CARTHAGE~36.50.9N~010.13.5E~20~P01.0
TUO~~TAUPO, NEW ZEALAND~NO STA DATA~~~~~
TUP~KTUP~TUPELO, MS~TUPELO MS~TUPELO MUN-LEMONS~34.16.0N~088.46.1W~346~M06.0
TUQ~~TOUGAN, BURKINA FASO~NO STA DATA~~~~~
TUR~SBTU~TUCURUI, BRAZIL~TUCURUI BRAZIL~TUCURUI~03.46.6S~049.43.1W~830~M03.0
TUS~KTUS~TUCSON, AZ~TUCSON AZ~TUCSON INTL~32.06.9N~110.56.4W~2641~M07.0
TUU~OETB~TABUK, SAUDI ARABIA~TABUK SAUDI ARABIA~TABUK~28.22.3N~036.37.5E~2551~P03.0
TUV~SVTC~TUCUPITA, VENEZUELA~TUCUPITA VENEZUELA~TUCUPITA~09.06.0N~062.03.0W~33~M04.0
TUW~~TUBALA PANAMA, PANAMA~NO STA DATA~~~~~
TUX~MMTX~TUMBLER RIDGE, CANADA~TUXPAN MEXICO~TUXPAN~19.35.0N~103.23.0W~4019~M06.0
TUY~~TULUM, MEXICO~NO STA DATA~~~~~
TUZ~~TUCUMA, BRAZIL~NO STA DATA~~~~~
TVA~~MORAFENOBE, MADAGASCAR~NO STA DATA~~~~~
TVB~~SABRE TRAVELBASE, TX~NO STA DATA~~~~~
TVC~KTVC~TRAVERSE CITY, MI~TRAVERSE CITY MI~CHERRY CAPITAL~44.44.4N~085.34.9W~624~M05.0
TVD~~AMER TRANS AIR, IN~NO STA DATA~~~~~
TVF~~THIEF RIVER FAL, MN~NO STA DATA~~~~~
TVH~~TRAVAMERICA, GA~NO STA DATA~~~~~
TVI~KTVI~THOMASVILLE, GA~THOMASVILLE MUNI~THOMASVILLE MUN~30.54.0N~083.52.8W~264~M05.0
TVL~KTVL~LAKE TAHOE TVL, CA~LAKE TAHOE CA~LAKE TAHOE~38.53.6N~119.59.7W~6264~M08.0
TVN~~VIETNAM AIRLINES, VIETNAM~NO STA DATA~~~~~
TVU~~TAVEUNI, FIJI~NO STA DATA~~~~~
TVY~~DAWE, MYANMAR~NO STA DATA~~~~~
TWA~~TWIN HILLS ALASKA, AK~NO STA DATA~~~~~
TWB~~TOOWOOMBA, AUSTRALIA~NO STA DATA~~~~~
TWC~~GF TRADEWIND CHI, IL~NO STA DATA~~~~~
TWD~~PORT TOWNSEND, WA~NO STA DATA~~~~~
TWE~~TAYLOR AK, AK~NO STA DATA~~~~~
TWF~KTWF~TWIN FALLS, ID~TWIN FALLS ID~JOSLIN-MAGIC VALLEY REGL~42.28.9N~114.29.2W~4150~M07.0
TWH~~CATALINA TWO HBRS, CA~NO STA DATA~~~~~
TWM~~GF TRADEWIND MEX, MEXICO~NO STA DATA~~~~~
